-2652, -4120, -15516, -2188, -3352, -15568
-2648, -4088, -15436, -2212, -3300, -15704
-2612, -4140, -15424, -2188, -3352, -15788
-2656, -4068, -15416, -2168, -3320, -15816
-2696, -4040, -15432, -2276, -3276, -15652
-2680, -4076, -15372, -2284, -3348, -15756
-2700, -4080, -15260, -2292, -3344, -15636
-2680, -4068, -15420, -2240, -3300, -15676
-2672, -4036, -15392, -2276, -3292, -15740
-2720, -4004, -15416, -2308, -3308, -15688
-2732, -4004, -15416, -2328, -3284, -15744
-2696, -4020, -15360, -2316, -3192, -15700
-2672, -4076, -15448, -2304, -3228, -15808
-2680, -3996, -15392, -2328, -3244, -15720
-2744, -4008, -15432, -2332, -3264, -15684
-2724, -4048, -15420, -2312, -3240, -15688
-2704, -3960, -15336, -2304, -3352, -15716
-2724, -3960, -15388, -2268, -3268, -15676
-2668, -4024, -15456, -2284, -3232, -15620
-2664, -4064, -15500, -2252, -3216, -15688
-2744, -4032, -15368, -2284, -3272, -15732
-2712, -3988, -15472, -2256, -3264, -15712
-2624, -4004, -15400, -2332, -3264, -15740
-2672, -4012, -15412, -2248, -3316, -15648
-2668, -4028, -15336, -2268, -3292, -15780
-2704, -3992, -15368, -2356, -3296, -15780
-2748, -4080, -15456, -2308, -3264, -15620
-2732, -4056, -15384, -2316, -3284, -15764
-2728, -4064, -15436, -2244, -3236, -15756
-2768, -4048, -15348, -2312, -3312, -15748
-2704, -4064, -15456, -2268, -3260, -15860
-2672, -4012, -15380, -2260, -3300, -15724
-2756, -4000, -15360, -2348, -3264, -15720
-2760, -4028, -15348, -2284, -3324, -15640
-2708, -4004, -15508, -2284, -3272, -15700
-2724, -4100, -15436, -2292, -3304, -15704
-2740, -4044, -15372, -2232, -3248, -15680
-2692, -3948, -15480, -2264, -3268, -15704
-2656, -3956, -15388, -2236, -3304, -15768
-2620, -4012, -15364, -2272, -3264, -15736
-2704, -3972, -15468, -2252, -3196, -15768
-2716, -3956, -15420, -2228, -3248, -15696
-2632, -3944, -15456, -2236, -3292, -15772
-2748, -4004, -15364, -2272, -3248, -15776
-2700, -4012, -15492, -2316, -3256, -15716
-2664, -3976, -15516, -2228, -3264, -15704
-2708, -3988, -15432, -2280, -3280, -15860
-2688, -4004, -15380, -2260, -3260, -15720
-2668, -3964, -15468, -2312, -3324, -15724
-2700, -3976, -15492, -2316, -3196, -15860
-2740, -4012, -15480, -2288, -3296, -15792
