-4692, -2636, -15256, -448, -2872, -16164
-4720, -2648, -15284, -388, -2992, -16044
-4720, -2640, -15220, -356, -2964, -16056
-4676, -2644, -15304, -384, -3056, -16004
-4688, -2616, -15232, -336, -2960, -15972
-4644, -2648, -15336, -348, -3044, -15992
-4676, -2652, -15136, -316, -2984, -15992
-4624, -2656, -15168, -336, -2984, -15924
-4676, -2660, -15136, -320, -2984, -16004
-4684, -2608, -15208, -280, -3068, -16156
-4644, -2696, -15368, -308, -2988, -16088
-4644, -2760, -15264, -324, -3036, -16008
-4644, -2736, -15332, -280, -2968, -16040
-4596, -2724, -15224, -292, -3068, -16056
-4660, -2780, -15224, -388, -3048, -16028
-4704, -2704, -15156, -336, -3028, -15900
-4660, -2624, -15220, -320, -3044, -16064
-4672, -2648, -15168, -348, -3040, -15912
-4764, -2712, -15204, -424, -3100, -16120
-4744, -2652, -15164, -328, -2996, -16020
-4708, -2588, -15120, -428, -3052, -16000
-4724, -2584, -15232, -424, -2928, -15980
-4744, -2564, -15216, -424, -2916, -15936
-4732, -2576, -15224, -404, -2864, -16008
-4636, -2548, -15124, -384, -2916, -16084
-4708, -2580, -15228, -420, -2912, -16048
-4668, -2664, -15152, -356, -2904, -16116
-4672, -2604, -15200, -440, -2864, -16108
-4712, -2684, -15252, -344, -2964, -16028
-4736, -2700, -15156, -364, -2880, -16044
-4612, -2640, -15276, -372, -2888, -16088
-4692, -2604, -15280, -328, -3016, -15960
-4660, -2604, -15168, -324, -2956, -15988
-4600, -2572, -15184, -328, -2952, -15972
-4608, -2548, -15256, -388, -2948, -15988
-4628, -2672, -15276, -340, -2932, -16032
-4748, -2700, -15296, -304, -2948, -16012
-4704, -2724, -15224, -396, -3000, -16020
-4716, -2668, -15164, -320, -2992, -15964
-4644, -2716, -15340, -336, -2964, -15920
-4692, -2620, -15340, -324, -2920, -16068
-4712, -2644, -15240, -316, -2984, -16040
-4636, -2632, -15244, -352, -2972, -16088
-4668, -2636, -15172, -388, -2952, -16140
-4728, -2576, -15352, -304, -2952, -15952
-4724, -2688, -15208, -364, -2932, -16000
-4736, -2648, -15292, -352, -2848, -16048
-4692, -2564, -15380, -376, -2856, -16076
-4704, -2600, -15192, -288, -2976, -16020
-4656, -2604, -15264, -380, -2932, -16060
-4660, -2612, -15324, -380, -2920, -16112
-4668, -2628, -15260, -328, -2960, -15988
-4644, -2648, -15296, -316, -2948, -16144
-4756, -2564, -15184, -368, -2932, -16244
-4664, -2584, -15240, -396, -2972, -15996
-4744, -2580, -15212, -420, -2968, -16056
-4772, -2640, -15212, -404, -2888, -16024
-4708, -2628, -15256, -340, -2900, -16028
-4664, -2636, -15308, -372, -2912, -15892
-4712, -2592, -15120, -408, -2964, -16096
-4660, -2580, -15320, -316, -2936, -15968
-4660, -2616, -15244, -348, -2872, -15960
-4680, -2676, -15328, -304, -2956, -16012
-4660, -2656, -15340, -304, -2932, -16040
-4700, -2672, -15284, -340, -2952, -15904
-4656, -2616, -15280, -360, -2944, -15992
-4744, -2644, -15292, -316, -3024, -16108
-4700, -2680, -15292, -360, -2872, -16052
-4752, -2596, -15328, -360, -2908, -16004
-4676, -2592, -15308, -356, -2904, -16104
-4724, -2596, -15204, -396, -2932, -16092
-4724, -2644, -15208, -392, -2960, -16096
-4724, -2636, -15256, -392, -2916, -16028
-4700, -2552, -15164, -408, -2860, -16064
-4700, -2636, -15176, -372, -2940, -15952
-4692, -2592, -15272, -424, -2940, -16032
-4720, -2636, -15172, -412, -2864, -16012
-4764, -2608, -15248, -396, -2948, -16056
-4740, -2600, -15300, -376, -2896, -16028
-4712, -2532, -15196, -384, -2892, -16060
-4712, -2568, -15348, -340, -2868, -16000
