2444, -1232, -16036, 1632, -5104, -15448
2372, -1304, -16104, 1628, -5164, -15424
2520, -1288, -16128, 1672, -5268, -15496
2536, -1360, -16152, 1664, -5280, -15408
2540, -1368, -16168, 1764, -5284, -15396
2576, -1376, -16092, 1788, -5284, -15432
2532, -1400, -15980, 1692, -5404, -15392
2664, -1468, -16104, 1792, -5396, -15296
2652, -1440, -15916, 1736, -5448, -15288
2696, -1552, -16104, 1752, -5364, -15244
2768, -1548, -16028, 1772, -5332, -15348
2808, -1524, -16124, 1800, -5416, -15280
2864, -1604, -16200, 1780, -5384, -15324
3228, -2284, -16860, 1864, -5472, -15356
2844, -996, -15496, 1836, -5532, -15272
2604, -1280, -16648, 1756, -5464, -15192
2512, -1856, -15728, 1716, -5500, -15316
2440, -1708, -16144, 1688, -5528, -15300
2324, -1496, -16052, 1556, -5516, -15224
2232, -1768, -15968, 1440, -5628, -15252
2428, -1832, -15972, 1436, -5624, -15260
2596, -1720, -15936, 1436, -5656, -15288
2516, -1768, -16160, 1480, -5668, -15344
2444, -1620, -16140, 1596, -5648, -15436
2408, -1548, -16208, 1636, -5640, -15440
2408, -1472, -16116, 1640, -5628, -15644
2508, -1344, -16168, 1704, -5496, -15576
2524, -1312, -16116, 1764, -5400, -15400
2616, -1276, -15968, 1704, -5332, -15420
2708, -1252, -15956, 1800, -5180, -15148
2856, -1428, -15952, 1704, -5144, -15284
2868, -1312, -15808, 1816, -5176, -15216
2880, -1432, -15984, 1908, -5236, -15224
2912, -1564, -16168, 1940, -5300, -15332
2844, -1592, -16064, 1900, -5364, -15432
2912, -1636, -16152, 1856, -5456, -15328
2864, -1688, -16028, 1872, -5504, -15328
2764, -1704, -15968, 1848, -5468, -15268
2656, -1684, -16116, 1760, -5452, -15316
2608, -1612, -16004, 1684, -5440, -15268
2508, -1652, -15996, 1584, -5344, -15224
2508, -1676, -15972, 1504, -5324, -15428
2540, -1600, -16024, 1464, -5236, -15224
2460, -1608, -16052, 1532, -5232, -15376
2408, -1536, -15988, 1576, -5248, -15340
2332, -1508, -15964, 1540, -5280, -15344
2300, -1412, -16016, 1540, -5268, -15352
2436, -1460, -16048, 1468, -5204, -15368
2500, -1448, -16200, 1576, -5364, -15296
2512, -1444, -16200, 1644, -5412, -15424
2472, -1452, -16184, 1624, -5544, -15456
2444, -1476, -16124, 1636, -5700, -15392
2440, -1472, -16032, 1680, -5704, -15264
2548, -1560, -15988, 1744, -5744, -15276
2564, -1620, -15920, 1684, -5700, -15240
2620, -1684, -15956, 1740, -5688, -15276
2668, -1684, -15956, 1764, -5584, -15296
2720, -1644, -15960, 1708, -5528, -15380
2680, -1652, -15988, 1764, -5520, -15344
2664, -1584, -16188, 1824, -5544, -15364
2672, -1516, -16060, 1776, -5420, -15280
2628, -1412, -16176, 1780, -5376, -15356
2704, -1380, -16032, 1756, -5384, -15300
2644, -1372, -16136, 1748, -5272, -15320
2620, -1360, -16152, 1736, -5144, -15352
2540, -1428, -16080, 1628, -5212, -15340
2568, -1364, -16076, 1656, -5184, -15468
2516, -1384, -16080, 1580, -5104, -15424
2540, -1416, -16148, 1672, -5156, -15472
2464, -1348, -15972, 1632, -5084, -15360
2500, -1236, -16168, 1740, -5148, -15480
2440, -1248, -16096, 1636, -5116, -15484
2404, -1200, -15980, 1664, -5000, -15472
2448, -1188, -16040, 1624, -4992, -15408
2496, -1108, -16084, 1684, -4984, -15392
2524, -1208, -16144, 1648, -5004, -15448
2348, -1132, -16028, 1596, -5052, -15360
2352, -1236, -16108, 1596, -5112, -15336
2324, -1360, -16080, 1600, -5220, -15288
2316, -1384, -16016, 1632, -5316, -15284
2396, -1440, -15908, 1564, -5436, -15392
2412, -1460, -15980, 1648, -5536, -15316
2452, -1448, -16012, 1672, -5544, -15384
2536, -1444, -15960, 1768, -5556, -15280
2584, -1584, -16000, 1772, -5584, -15304
2576, -1452, -16072, 1788, -5548, -15232
2684, -1432, -16128, 1776, -5540, -15344
2716, -1376, -16116, 1728, -5516, -15356
2656, -1464, -16092, 1768, -5440, -15332
2652, -1452, -16092, 1712, -5464, -15388
2596, -1676, -16080, 1660, -5412, -15236
2588, -1712, -16016, 1664, -5564, -15188
2580, -1680, -16024, 1624, -5488, -15240
2640, -1832, -16020, 1680, -5524, -15212
2692, -2028, -15848, 1568, -5564, -15060
2484, -1988, -15880, 1560, -5576, -15252
2396, -1960, -15796, 1432, -5492, -15332
2284, -1968, -15868, 1200, -5572, -15396
2136, -2008, -15764, 1092, -5664, -15548
2128, -1952, -15824, 972, -5644, -15692
2140, -1712, -16012, 1016, -5788, -15904
2012, -1600, -16100, 1084, -5784, -16136
2044, -1292, -16136, 1208, -5772, -16324
2072, -1044, -16240, 1420, -5560, -16308
2156, -796, -16344, 1832, -5368, -16280
2268, -728, -16276, 2012, -5136, -16288
2548, -816, -16356, 1728, -5068, -16168
2668, -328, -16448, 1584, -4964, -16124
2384, -280, -16432, 1552, -4744, -16024
2156, -144, -16508, 1712, -4680, -15964
2140, -184, -16368, 1824, -4764, -15752
2220, -224, -16196, 1948, -4888, -15644
2516, -164, -16264, 2312, -4916, -15388
2872, -212, -16204, 2548, -4992, -15324
3048, -360, -16164, 2764, -5072, -15112
3132, -580, -16136, 2904, -5152, -15004
3164, -636, -16120, 2884, -5132, -14880
3284, -784, -16156, 2808, -5236, -14708
3296, -1016, -16072, 2820, -5364, -14552
3280, -1172, -15928, 2716, -5428, -14560
3176, -1356, -16020, 2640, -5412, -14536
3020, -1352, -15888, 2588, -5564, -14688
2836, -1360, -15984, 2484, -5576, -14616
2624, -1272, -16080, 2368, -5592, -14664
2544, -1144, -15924, 2336, -5592, -14624
2528, -1056, -15880, 2244, -5524, -14632
2652, -1008, -16012, 2232, -5536, -14676
2724, -768, -15996, 2268, -5392, -14800
2712, -660, -16064, 2356, -5328, -14884
2572, -688, -15928, 2432, -5180, -14704
2412, -424, -15688, 2556, -5136, -14528
2528, -328, -15388, 2516, -4952, -14448
2520, -340, -15376, 2524, -4848, -14472
2996, -584, -16068, 2604, -4792, -14916
3620, -856, -17128, 2608, -4856, -15656
3884, -864, -17752, 2976, -5124, -16332
3468, -728, -17704, 3172, -5412, -16384
2656, -380, -16496, 3268, -5576, -15704
1992, 184, -15292, 3008, -5488, -14796
1996, -28, -14536, 2584, -5292, -14140
2628, -412, -14704, 2084, -4556, -14240
3288, -744, -15288, 1880, -4208, -14680
3700, -740, -16520, 1884, -4088, -15416
3624, -1204, -16864, 2180, -4204, -16276
2880, -868, -17008, 2648, -4424, -16404
2332, -376, -16356, 2876, -4516, -16020
2228, -152, -16056, 2828, -4464, -15640
2196, -20, -15704, 2612, -4424, -15364
2636, -168, -15844, 2300, -4264, -15296
3020, -152, -15972, 1980, -4200, -15628
3060, -232, -16332, 1996, -4112, -15672
2756, -168, -16388, 2056, -4264, -15908
2480, -180, -16268, 2192, -4476, -15656
2352, -336, -16240, 2296, -4652, -15508
2452, -556, -15988, 2292, -4720, -15348
2536, -644, -16076, 2308, -4720, -15324
2636, -672, -16088, 2152, -4768, -15244
2544, -696, -16132, 2092, -4744, -15280
2512, -736, -16132, 2024, -4724, -15352
2428, -756, -16108, 2020, -4752, -15360
2488, -752, -16096, 2100, -4804, -15304
2552, -692, -16104, 2080, -4756, -15400
2604, -688, -16092, 2132, -4768, -15380
2752, -724, -16260, 2168, -4828, -15568
2732, -700, -16180, 2156, -4916, -15544
2664, -616, -16248, 2140, -4872, -15668
2560, -700, -16260, 2152, -4984, -15608
2524, -616, -16184, 2064, -4972, -15588
2528, -660, -16200, 1972, -5040, -15620
2560, -624, -16280, 2012, -5064, -15540
2556, -760, -16180, 1940, -5128, -15664
2548, -872, -16200, 1888, -5064, -15688
2556, -848, -16192, 1860, -5196, -15760
2548, -884, -16136, 1848, -5168, -15712
2504, -1084, -16104, 1800, -5096, -15788
2604, -1112, -15988, 1720, -5160, -15716
2668, -1196, -15788, 1584, -5164, -15876
2860, -1392, -15876, 1508, -5140, -15920
2924, -1684, -15724, 1412, -5144, -16000
2956, -1508, -16268, 1404, -5188, -16288
2508, -1140, -16892, 1572, -5228, -16380
2056, -540, -16896, 1692, -5188, -15992
1848, -520, -16368, 1688, -5184, -15344
1836, -780, -15800, 1604, -4960, -14920
2192, -1008, -15732, 1532, -4812, -14812
2532, -1080, -15764, 1448, -4644, -15064
2600, -1212, -15908, 1492, -4556, -15168
2504, -1264, -16012, 1592, -4752, -15364
2360, -1376, -16108, 1716, -4976, -15476
2460, -1512, -16148, 1856, -5476, -15392
2544, -1592, -16236, 1860, -5856, -15460
2604, -1684, -16184, 1924, -6168, -15328
2492, -1508, -16036, 1916, -6248, -15296
2456, -1520, -16016, 1692, -6220, -15208
2448, -1512, -15868, 1604, -6124, -15096
2272, -1384, -15992, 1448, -5876, -15184
2256, -1456, -16132, 1392, -5616, -15372
2192, -1336, -16180, 1340, -5360, -15408
2176, -1368, -16160, 1476, -5240, -15448
2208, -1424, -16220, 1488, -5236, -15424
2208, -1280, -16052, 1640, -5220, -15488
2232, -1248, -16012, 1704, -5292, -15332
2288, -1240, -16100, 1828, -5336, -15248
2468, -1156, -16116, 1848, -5440, -15228
2636, -1272, -15944, 1912, -5472, -15192
2668, -1272, -16052, 1892, -5488, -15312
2720, -1276, -15976, 1860, -5448, -15296
2668, -1324, -16128, 1840, -5404, -15352
2556, -1300, -16152, 1812, -5464, -15336
2576, -1208, -16200, 1748, -5460, -15408
2452, -1328, -16208, 1772, -5488, -15356
2316, -1300, -16140, 1640, -5472, -15368
2352, -1304, -16196, 1676, -5492, -15328
2280, -1280, -16120, 1524, -5400, -15288
2220, -1324, -16160, 1624, -5360, -15200
2256, -1360, -16044, 1596, -5396, -15308
2312, -1344, -16120, 1532, -5380, -15276
2288, -1312, -16168, 1612, -5368, -15232
2236, -1420, -16172, 1548, -5524, -15368
2264, -1428, -16108, 1536, -5540, -15352
2228, -1500, -16092, 1536, -5596, -15320
2204, -1508, -16212, 1604, -5644, -15308
2232, -1516, -16104, 1628, -5684, -15304
2268, -1588, -16048, 1572, -5696, -15216
2288, -1576, -16104, 1528, -5784, -15156
2264, -1616, -16112, 1620, -5776, -15256
2164, -1552, -16116, 1620, -5816, -15204
2160, -1580, -16116, 1588, -5812, -15328
2220, -1632, -16076, 1592, -5628, -15236
2292, -1612, -16120, 1700, -5668, -15308
2388, -1544, -16088, 1660, -5596, -15344
2384, -1592, -16004, 1620, -5572, -15364
2344, -1472, -16068, 1652, -5528, -15224
2324, -1428, -16060, 1616, -5552, -15316
2352, -1528, -16080, 1684, -5476, -15356
2340, -1512, -16120, 1776, -5488, -15232
2300, -1468, -16104, 1628, -5548, -15312
2296, -1488, -16044, 1604, -5580, -15228
2376, -1520, -15996, 1652, -5608, -15236
2272, -1588, -16080, 1600, -5552, -15260
2268, -1548, -16100, 1704, -5508, -15316
2312, -1592, -16080, 1680, -5556, -15260
2268, -1536, -16028, 1688, -5476, -15336
2280, -1460, -16120, 1732, -5452, -15300
2236, -1444, -16164, 1676, -5348, -15356
2360, -1512, -16124, 1736, -5412, -15368
2392, -1444, -16064, 1748, -5256, -15352
2316, -1440, -16120, 1708, -5244, -15352
2324, -1332, -16128, 1708, -5212, -15328
2372, -1332, -15980, 1824, -5204, -15388
2400, -1364, -16064, 1760, -5212, -15372
2440, -1364, -16224, 1796, -5264, -15316
2316, -1404, -16068, 1784, -5264, -15328
2344, -1400, -16252, 1728, -5392, -15440
2360, -1428, -16124, 1744, -5468, -15456
2324, -1448, -16152, 1712, -5456, -15336
2312, -1452, -16176, 1736, -5396, -15428
2300, -1600, -16012, 1732, -5492, -15276
2276, -1684, -16060, 1588, -5572, -15200
2180, -1716, -16120, 1644, -5660, -15336
2220, -1652, -16136, 1576, -5664, -15348
2396, -1720, -16076, 1608, -5768, -15116
2272, -1860, -16088, 1636, -5844, -15240
2256, -1776, -16160, 1504, -5964, -15244
