6180, 32�3372, 716, -16128, 316, 88, -16336
3356, 752, -16228, 280, 116, -16324
3356, 728, -16080, 324, 68, -16344
3400, 656, -16216, 244, 112, -16384
3388, 780, -16156, 264, 36, -16468
3360, 712, -16184, 312, 60, -16312
3308, 644, -16080, 356, 44, -16372
3352, 752, -16076, 332, 84, -16336
3392, 728, -16124, 372, 32, -16380
3388, 784, -16224, 284, 20, -16424
3416, 680, -16128, 312, 48, -16392
3424, 748, -16164, 360, 72, -16592
3432, 736, -16204, 364, 72, -16352
3348, 728, -16240, 372, 104, -16316
3384, 840, -16140, 320, 64, -16536
3396, 708, -16144, 320, 76, -16348
3380, 756, -16208, 312, 84, -16440
3356, 760, -16232, 324, 88, -16312
3428, 776, -16192, 252, 140, -16432
3468, 752, -16172, 308, 120, -16400
3336, 680, -16176, 404, 136, -16432
3392, 784, -16108, 292, 84, -16316
3416, 820, -16300, 320, 152, -16472
3392, 696, -16272, 328, 68, -16632
3416, 628, -16268, 372, 128, -16332
3368, 776, -16168, 376, 112, -16380
3404, 780, -16248, 348, 84, -16356
3416, 684, -16040, 336, 72, -16384
3440, 732, -16188, 368, 48, -16440
3372, 684, -16104, 316, 24, -16424
3424, 720, -16116, 324, 92, -16476
3388, 792, -16116, 308, 120, -16412
3416, 692, -16040, 292, 104, -16360
3392, 704, -16092, 292, 72, -16468
3380, 776, -16116, 356, 12, -16444
3396, 656, -16048, 332, 100, -16344
3380, 744, -16128, 352, 140, -16376
3380, 728, -16100, 292, 80, -16428
3396, 736, -16104, 340, 96, -16408
3376, 804, -16168, 344, 64, -16320
3408, 724, -16240, 284, 144, -16288
3396, 684, -16136, 308, 48, -16432
3380, 768, -16164, 380, 44, -16352
3408, 788, -16232, 344, 112, -16444
3436, 748, -16172, 344, 80, -16428
3404, 732, -16236, 312, 96, -16400
3376, 768, -16064, 264, 120, -16360
3420, 796, -16148, 384, 92, -16324
3436, 724, -16268, 296, 148, -16336
3404, 740, -16028, 360, 84, -16408
3352, 808, -16132, 328, 72, -16404
3368, 760, -16156, 280, 116, -16468
3344, 636, -16164, 296, 128, -16392
3368, 768, -16084, 308, 112, -16488
3392, 684, -16132, 340, 92, -16392
3380, 716, -16188, 368, 84, -16476
3412, 712, -16092, 256, 96, -16404
3428, 712, -16152, 356, 100, -16412
3436, 728, -16188, 288, 68, -16432
3416, 704, -16128, 316, 72, -16468
3372, 748, -16112, 256, 36, -16324
3424, 740, -16148, 336, 164, -16552
3356, 704, -16148, 296, 84, -16548
3428, 776, -16180, 340, 88, -16352
3372, 760, -16144, 364, 80, -16488
3400, 656, -16356, 332, 80, -16364
3416, 736, -16104, 348, 112, -16380
3488, 728, -16076, 328, 96, -16432
3456, 732, -16248, 356, 76, -16424
3340, 732, -16056, 372, 92, -16352
3420, 760, -16064, 316, 112, -16308
3376, 744, -16156, 280, 20, -16340
3412, 700, -16116, 400, 84, -16384
3452, 776, -16136, 336, 100, -16344
3400, 704, -16132, 368, 100, -16424
3496, 760, -16188, 312, 84, -16432
3400, 768, -16116, 280, 144, -16384
3412, 808, -16252, 288, 140, -16416
3336, 772, -16124, 304, 68, -16384
3392, 788, -16160, 320, 84, -16312
3400, 756, -16156, 356, 84, -16396
3412, 704, -16180, 360, 128, -16372
